OU1,OU2,UU,RU,NU,PU
Aerodactyl-Mega,Aegislash,Absol-mega,Accelgor,Abomasnow,Absol
Charizard-mega-X,Altaria-mega,Aggron-mega,Aerodactyl,Abomasnow-mega,Altaria
Charizard-mega-Y,Azumarill,Alakazam,Ampharos-mega,Alcremie,Ambipom
Clefable,Celesteela,Amoonguss,Araquanid,Alomomola,Ampharos
Corviknight,Diancie-mega,Azelf,Arcanine,Appletun,Arbok
Excadrill,Gallade-mega,Barraskewda,Banette-mega,Archeops,Arctovish
Ferrothorn,Gardevoir-mega,Beedrill-mega,Barbaracle,Arctozolt,Ariados
Garchomp,Gyarados,Bisharp,Bewear,Aromatisse,Armaldo
Garchomp-Mega,Hawlucha,Blacephelon,Blastoise,Articuno,Audino
Gliscor,Heracross-mega,Breloom,Camerupt-mega,Articuno-galar,Aurorus
Gyarados-Mega,Hoopa-Unbound,Buzzwole,Celebi,Audino-mega,Avalugg
Heatran,Hydreigon,Chesnaught,Centiskorch,Bibarel,Banette
Kartana,Keldeo,Cloyster,Chandelure,Blaziken,Basculin
Kommo-o,Latias,Crobat,Cobalion,Boltund,Bastiodon
Kyurem,Latios,Diggersby,Conkeldurr,Bouffalant,Beartic
Landorus-Therian,Magnezone,Dragonite,Copperajah,Braviary,Beedrill
Latias-Mega,Pelipper,Gengar,Crawdaunt,Bronzong,Beheeyem
Latios-Mega,Pinsir-mega,Grimmsnarl,Cresselia,Bruxish,Butterfree
Lopunny-Mega,Sableye-mega,Hippowdon,Cursola,Calyrex,Cacturne
Manaphy,Skarmory,Infernape,Darmanitan,Camerupt,Carbink
Mawile-Mega,Slowbro,Jirachi,DItto,Charizard,Carnivine
Medicham-mega,Slowbro-mega,Krookodile,Donphan,Claydol,Carracosta
Melmetal,Tapu-Bulu,Mamoswine,Dracozolt,Cofagrigus,Castform
Mew,Terrakion,Mandibuzz,Dragalge,Comfey,Chatot
Rillaboom,Thundurus,Manectric-mega,Drapion,Crabominable,Cherrim
Scizor-mega,Thundurus-Therian,Mienshao,Empoleon,Cradily,Chimecho
Swampert-mega,Tyranitar-mega,Milotic,Entei,Crustle,Cinccino
Tapu-Fini,Weavile,Moltres,Escavalier,Decidueye,Clawitzer
Tapu-Koko,Xurkitree,Necrozma,Espeon,Delphox,Coalossal
Tapu-Lele,Zapdos-galar,Nidoking,Florges,Dhelmise,Corsola
Toxapex,,Nihilego,Froslass,Diancie,Cramorant
Tyranitar,,Porygon2,Galvantula,Dodrio,Cyrogonal
